,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,child_mortality_rate,Expenditure_on_health,Expenditure_on_education,visitor_per_hectare,income,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors
11,5.749043465,9.735478401,0.548332989,0.901961505,63.96964645,-0.226576045,0.282161538,5.3,336.0,5.1,0.586466907,6085,3.6,49.0,90.4,16.35,5.900000095,3253.0,18.3,119000
12,6.935122013,10.61212635,0.44011718,0.92711705,71.3420105,-0.060538139,0.289544444,4.3,4588.0,6.4,249.669749,45301,1.8,69.0,71.2,10.08,7.5,3793.0,14.2,7560000
13,3.193468809,7.492073059,0.582080483,0.523027301,50.10337067,-0.079404496,0.4101,107.0,36.0,4.9,1.95104647,742,6.3,55.7,13.4,1.4,1.0,2594.0,5.7,220000
14,6.018894672,8.664417267,0.435292631,0.780819416,58.51885605,-0.008353052,0.541608333,43.1,149.0,6.4,0.73663805,1987,12.4,50.2,40.95390625,3.89,2.700000048,2254.0,12.2,798000
15,4.773144722,9.12287426,0.194952324,0.778859854,67.2230072,-0.00828603,0.321266667,6.5,447.0,4.43070866142,8.57421875,4516,1.6,57.3,41.1,4.61,28.10000038,3130.0,10.8,439000
16,4.835938931,9.547103882,0.662237763,0.836743116,54.90007782,-0.211346135,0.62595,49.5,428.0,9.6,2.847916998,6658,14.8,69.6,18.1,5.76,17.70000076,2285.0,3.8,1614000
17,6.660003662,9.612587929,0.458935678,0.890314102,63.86126328,-0.095055113,0.556266667,16.0,985.0,5.9,0.679218104,11170,23.8,57.9,45.2,7.55,6.099999905,3248.0,5.8,5677000
18,4.222297192,9.663409233,0.342922807,0.837966621,66.28061676,-0.177348077,0.332,12.0,519.0,3.5,60.25239499,6967,1.9,64.7,62.7,10.99,12.30000019,2877.0,10.8,6541000
19,3.95500803,7.326239586,0.617090106,0.743765771,49.89596176,-0.053377308,0.41505,101.4,36.0,4.1,0.86622807,616,0.7,60.6,4.6,4.75,3.299999952,2707.0,4.8,237000
20,3.898706913,7.935647964,0.447820819719,0.605528593,57.04252243,0.250064552,0.346071429,35.8,59.0,1.6,20.30364831,825,2.2,57.6,15.9,2.12,0.200000003,2411.0,9.4,3584000
21,4.244634151,7.888424873,0.533314586,0.74283731,46.7892952,-0.021345476,0.4248,97.4,53.0,3.0,1.728332381,1168,2.7,51.8,11.9,6.19,4.099999905,2586.0,7.0,817000
22,7.415144444,10.64220619,0.523448169,0.948128343,71.33097076,0.274329185,0.337775,5.3,5719.0,5.3,1.797325785,47883,1.6,79.9,40.95390625,8.3,7.199999809,3419.0,9.8,16344000
23,4.03297472,7.581354141,0.30277133,0.672866464,43.81139755,-0.041087877,0.4157,151.6,29.0,2.5,0.068297332,891,9.2,44.8,2.2,0.62,7.0,2124.0,4.7,86000
24,6.599128723,9.959015846,0.343267798,0.855235577,70.78299713,0.181994438,0.525116667,8.6,1108.0,4.6,4.779888424,13422,2.5,78.3,79.4,6.76,6.400000095,2989.0,12.2,3554000
25,5.094917297,9.307193756,0.447820819719,0.787818193,68.18089294,-0.201555297,0.4244,13.4,329.0,4.43070866142,6.148668793,5324,0.8,51.2,27.2,5.74,4.5,3098.0,7.8,57725000
26,6.374879837,9.379268646,0.357382864,0.914372623,63.37839508,-0.016154712,0.563128571,17.4,547.0,4.4,1.960342497,6504,31.3,68.0,46.2,4.44,10.60000038,2752.0,5.4,2175000
27,3.955640316,7.211380005,0.464862645,0.719217896,53.49835205,-0.062028043,0.5593,80.9,55.0,5.1,0.0,762,7.8,45.7,8.6,0.12,6.5,2893.9140625,16.9,0
28,3.919341803,8.647892952,0.541932642,0.622330368,51.63042831,-0.151900098,0.43745,52.6,127.0,2.2,0.749633968,2601,10.5,43.8,10.4,3.82,6.599999905,2195.0,9.6,256000
29,4.63922739,6.462387562,0.437570214,0.769545972,48.95344543,0.000880676,0.43155,108.5,15.0,2.2,0.073664013,316,12.5,41.1,7.9,1.82,8.199999809,2893.9140625,10.1,167000
30,7.272250175,9.517026901,0.280074805,0.902206898,69.04676056,0.047424659,0.492464286,10.1,930.0,6.9,45.88719154,8479,8.7,68.0,49.3,3.34,7.800000191,2898.0,6.7,2343000
31,6.027634621,9.912589073,0.311118603,0.775817871,67.06228638,-0.248342052,0.3119,4.9,1030.0,4.2,185.2930665,13233,1.2,60.9,61.7,11.49,15.80000019,3052.0,11.6,10369000
32,6.180507183,10.36437988,0.3364124,0.767177105,71.98058319,0.085420452,0.316455556,3.2,1965.0,6.6,266.7748918,27860,1.9,71.8,45.9,10.55,11.80000019,2661.0,4.7,2465000
33,6.334149361,10.25086594,0.169811338,0.91242677,69.0668869,-0.161259785,0.265377778,3.8,1411.0,4.3,131.0590368,18712,0.1,69.9,65.9,12.71,7.0,3292.0,12.5,10123000
34,7.519909382,10.66589642,0.534252763,0.951437175,70.04481506,0.128473848,0.279033333,3.8,6204.0,8.5,198.9865661,59118,0.7,76.2,79.3,9.26,7.5,3363.0,8.8,8443000
35,4.753311157,9.352508545,0.43158412,0.879158199,62.68741608,-0.065055996,0.494542857,32.7,254.0,2.0,94.45249431,5416,22.3,60.2,46.7,5.93,14.69999981,2573.0,4.1,4563000
36,5.960716248,9.242061615,0.637234926,0.785201013,66.38104248,-0.088734113,0.513625,23.7,368.0,4.2,5.121597681,5063,12.5,48.3,39.9,3.92,4.099999905,2477.0,9.2,1272000
37,4.204156876,9.217006683,0.601901174,0.736645103,60.76729584,-0.148237213,0.3075,26.8,161.0,4.3,11.24717464,2596,2.8,57.9,27.6,0.23,12.69999981,3557.0,1.7,11196000
38,5.934371471,8.951271057,0.312310934,0.806014717,63.20287323,-0.164516062,0.468214286,18.6,263.0,3.4,60.56949807,3535,42.7,68.7,28.6,2.48,6.099999905,2513.0,13.6,1255000
39,5.363927841,10.13803387,0.272975951,0.889454544,66.41425323,-0.200658888,0.336992308,3.8,1078.0,4.7,64.73224817,15875,4.8,73.2,72.1,15.04,10.10000038,3214.0,13.6,2744000
40,4.561168671,7.117977619,0.7,0.658794284,53.9631958,-0.028826296,0.3149,67.7,26.0,5.6,0.597,341,8.0,52.0,8.1,1.84,5.599999905,2124.0,11.5,597000
41,7.420209408,10.58377647,0.597941577,0.927739382,70.67289734,-0.012763418,0.277455556,2.7,4255.0,7.2,13.90634769,46519,1.6,72.3,93.3,9.24,7.599999905,3285.0,14.8,4226000
42,6.649365425,10.52471447,0.44062534,0.93709743,71.97216034,-0.160851866,0.3207375,4.3,4699.0,5.5,149.7195726,41807,1.2,63.2,60.0,11.5,9.899999619,3524.0,12.3,81980000
43,3.97205925,9.775367737,0.364717662,0.736096144,54.24062729,-0.222380593,0.4218,57.7,343.0,3.8,0.0,8951,9.4,56.4,40.95390625,8.3,20.29999924,2781.0,8.2,0
44,4.254445553,8.810216904,0.610841632,0.532586455,64.95158386,-0.240652859,0.4053,14.4,328.0,2.0,63.72139876,2873,3.3,69.4,29.2,7.71,15.0,2731.0,3.2,4428000
45,6.702362061,10.66977024,0.516928196,0.926406622,70.90592957,0.058252748,0.315416667,4.0,4754.0,4.9,87.24753271,45289,0.8,71.0,65.5,11.18,5.400000095,3539.0,9.2,30411000
46,5.057261944,8.205010414,0.576750815,0.68511188,53.10902023,0.049346812,0.4277,69.2,79.0,7.9,3.968533005,1488,1.7,60.7,12.2,1.64,3.599999905,3003.0,3.1,903000
47,5.096354008,10.11494637,0.126218989,0.81214112,70.67931366,-0.312889546,0.348866667,4.7,2049.0,4.0,120.3878976,22982,1.5,55.4,110.3,8.2,24.20000076,3433.0,3.8,15518000
48,5.855717182,8.832767487,0.502455831,0.802148998,61.35364151,0.018430019,0.53975,32.1,208.0,3.0,12.17805151,2810,33.5,60.9,40.95390625,2.02,2.900000095,2416.0,8.7,1305000
49,3.651554823,7.087982178,0.557172477,0.542295277,48.69386292,0.041929055,0.386966667,104.0,26.0,2.5,0.390688589,413,8.7,50.8,9.9,0.22,1.700000048,2553.0,4.7,96000
50,4.413475037,7.368271351,0.367326528,0.74866271,52.02800369,0.296056956,0.60135,75.2,78.0,4.43070866142,12.66328012,705,10.0,50.7,40.95390625,5.68,7.0,2084.0,2.8,349000
51,4.602218151,8.422512054,0.26335296,0.779194891,62.92326736,-0.001492855,0.563215385,22.6,234.0,5.5,7.998927518,2051,92.7,58.8,20.5,3.11,4.0,2651.0,5.5,895000
52,5.483764648,10.82668686,0.49790594,0.826425672,75.28047943,0.202729911,0.4344,4.0,1715.0,3.5,22638.09524,34548,0.4,89.9,60.6,1.1,3.299999952,3281.0,9.63308823529,23770000
53,4.683358192,10.013978,0.209778264,0.906113982,66.05580139,-0.146845311,0.288415385,6.3,991.0,4.6,114.3598807,12575,1.2,67.1,59.8,11.27,10.89999962,2968.0,19.1,10353000
54,7.590660095,10.59196091,0.257335573,0.978965282,72.80523682,0.232033506,0.287055556,2.2,3857.0,7.0,6.713216958,34940,0.3,70.9,82.2,7.81,6.0,3339.0,14.0,673000
55,4.720146656,8.489012718,0.539206505,0.510574579,58.11398697,0.056507349,0.3364,54.5,65.0,3.8,2.212438492,1459,3.4,54.6,24.4,3.1,3.599999905,2435.0,21.1,6578000
56,5.36777401,9.135908127,0.672580957,0.833621144,59.83398438,0.341072381,0.333575,30.4,107.0,3.4,4.440347323,3328,0.6,56.4,30.7,0.08,6.099999905,2770.0,4.3,8044000
57,4.608927727,9.71407795,0.52,0.599542618,64.69132233,0.176196138,0.392366667,17.5,511.0,3.2,2.353937965,5969,4.8,42.3,54.9,0.03,13.10000038,3058.0,5.2,3834000
58,4.659508705,9.590419769,0.339846313,0.730118215,60.33939362,-0.059742801,0.2954,34.8,294.0,4.43070866142,2.558021735,4539,8.0,17.2,40.95390625,0.17,15.19999981,2489.0,1.7,1111000
59,6.964645386,10.72857952,0.3458727,0.961785913,70.90807343,0.289130628,0.325633333,4.0,4079.0,5.8,109.5950065,39073,1.2,76.9,67.6,11.49,14.69999981,3591.0,11.0,7550000
60,7.110854626,10.33784389,0.343569756,0.903415501,71.74086761,0.143254369,0.41255,4.3,2515.0,5.7,133.3641405,30916,1.7,67.8,67.8,2.78,6.900000095,3619.0,5.9,2886000
61,5.839313984,10.45724773,0.280694604,0.86948663,72.33071136,0.104202248,0.341711111,3.8,3242.0,4.1,157.6120215,34815,0.9,58.8,65.0,7.49,10.69999981,3539.0,4.7,46360000
62,5.968216419,10.46274948,0.169178054,0.905295432,74.19293976,-0.1,0.3211,3.0,4749.0,3.8,22.92658172,46498,0.3,71.6,61.5,7.39,4.300000191,2719.0,18.5,8358000
63,5.131996155,9.336112022,0.447820819719,0.829496324,63.78152847,-0.178432882,0.3426,19.6,354.0,3.0,46.87992791,3931,2.3,69.9,47.6,0.41,12.19999981,3149.0,2.0,4162000
64,5.759469509,9.976071358,0.726160645,0.891716659,61.42058945,-0.185068682,0.299815385,17.9,522.0,3.1,1.643515946,8452,8.7,63.6,51.3,6.82,5.300000191,3107.0,23.8,4437000
65,4.547335148,7.889761448,0.40184477,0.83141011,52.36815262,0.083202876,0.4851,55.6,65.0,5.5,2.844642794,1040,6.5,57.5,3.0,1.81,9.199999809,2192.0,16.2,1619000
66,6.221094608,11.25250435,0.447820819719,0.888916671,64.82579803,-0.074814186,0.388312619333,9.9,1309.0,4.5,16.83501684,42856,1.8,62.5,40.95390625,0.02,3.400000095,3471.0,0.9,300000
67,5.207785606,7.962011337,0.513287067,0.856181741,61.88621521,-0.053149253,0.316953846,25.7,82.0,7.4,12.544317,877,5.3,60.2,41.2,3.28,8.399999619,2828.0,9.2,2406000
68,4.876084805,8.411408424,0.447820819719,0.692627907,56.3509903,0.240432337,0.363966667,74.0,31.0,2.8,9.926343154,1066,7.3,50.0,17.1,5.39,1.399999976,2356.0,8.8,2291000
69,5.125025272,9.92732811,0.191219807,0.851195216,64.80504608,-0.044212423,0.359145455,8.7,827.0,4.6,23.07073955,12805,4.8,65.2,65.6,10.21,14.89999962,3293.0,16.2,1435000
70,4.572566986,9.71556282,0.2,0.712611496,68.86749268,-0.015579774,0.388312619333,9.3,626.0,2.2,133.5288368,8008,3.9,60.1,45.6,1.53,6.199999809,3181.0,0.9,1366000
71,5.754394054,10.02394676,0.447820819719,0.854930937,61.14096069,-0.062927842,0.388312619333,15.1,655.0,4.43070866142,0.0,8878,2.5,35.9,40.95390625,0.0,19.20000076,2893.9140625,1.8,0
72,5.771037102,10.07417297,0.145729542,0.918690145,64.88002777,-0.281597167,0.343476923,5.6,940.0,4.8,30.31560137,13277,6.7,71.5,77.2,15.14,13.19999981,3463.0,28.2,1900000
73,6.964097023,11.38689804,0.743670523,0.913907707,71.46674347,0.042846926,0.317611111,2.1,7551.0,2.2,366.7953668,76825,0.0,74.5,19.4,11.34,5.099999905,3568.0,8.7,950000
74,4.639647484,9.35610199,0.369646579,0.798305035,65.15873718,-0.086337939,0.394657143,7.4,319.0,4.43070866142,13.91752577,4532,1.0,68.5,40.8,5.28867647059,8.39855074797,2893.9140625,9.63308823529,351000
75,3.550609589,7.225627422,0.350055397,0.673088312,55.21197128,-0.043723658,0.423166667,55.5,15.0,2.7,0.440017532,396,0.6,62.4,4.1,0.87,3.599999905,2058.0,11.0,256000
76,4.279269695,6.619502068,0.471810192,0.603725672,50.8900795,0.195974991,0.42995,77.3,33.0,5.4,8.167161646,462,1.8,56.4,0.8,1.23,7.599999905,2334.0,16.0,770000
77,5.914283752,10.03040218,0.761775732,0.841218948,64.36611176,-0.00298468,0.461033333,7.7,422.0,5.8,76.19236037,9396,2.0,66.4,37.2,0.53,3.0,2855.0,3.0,25033000
78,4.313016891,7.3024683,0.486437917,0.823435068,48.08000183,-0.064133003,0.3728,127.0,43.0,4.2,0.109818963,649,10.2,55.8,6.9,0.61,8.100000381,2833.0,4.8,134000
79,5.962872028,10.24959373,0.498758078,0.921752036,70.77765656,0.342180848,0.388312619333,6.7,2217.0,6.8,4509.375,20736,2.9,67.0,45.5,7.67,6.400000095,3389.0,6.0,1443000
80,4.673203945,8.156980515,0.383974999,0.763332725,52.62998581,-0.001022628,0.388933333,92.7,43.0,3.0,0.0,1217,11.4,53.0,5.2,0.01,31.10000038,2791.0,2.9,0
81,7.320185184,9.688825607,0.3614088,0.767279446,67.31216431,-0.098337546,0.4884875,15.3,633.0,5.2,12.03888989,9302,21.3,65.3,28.3,5.29,4.900000095,3049.0,4.2,23403000
82,5.995712757,8.330985069,0.21462217,0.826219797,60.95330811,0.000434954,0.339307143,16.7,243.0,8.3,0.334855403,1924,5.6,54.4,40.1,5.28867647059,5.599999905,2837.0,13.7,11000
83,4.885150433,9.191090584,0.310268313,0.918516099,61.44493866,0.092367247,0.33884,26.2,185.0,4.6,0.306393059,3098,7.1,61.5,58.7,5.8,5.0,2463.0,9.8,476000
84,5.218724251,9.533634186,0.355399817,0.704032779,64.82752991,-0.193067625,0.305788889,5.7,470.0,4.43070866142,93.97769517,6813,2.7,62.5,55.3,5.28867647059,19.60000038,3568.0,15.3,1264000
85,4.969656467,8.832536697,0.525867641,0.67582494,63.03160858,-0.198198915,0.4068,30.7,179.0,5.3,21.00604974,2955,1.2,60.2,19.3,0.55,9.0,3334.0,5.3,9375000
86,4.438939571,7.68,0.447820819719,0.612249672,56.50580978,-0.00963006893431,0.388312619333,55.3,24.0,4.43070866142,1.621025884,1037,2.5,60.4669117647,13.5,0.55,3.299999952,2565.0,13.1,1059000
87,4.233244896,7.65670681,0.439799935,0.733602345,59.71434784,0.083691783,0.38005,40.9,38.0,4.7,5.601674224,636,3.0,50.2,14.4,0.26,2.700000048,2655.0,24.9,803000
88,7.470715523,10.73047543,0.574513912,0.938884676,71.0919342,0.273785055,0.294344444,4.2,5456.0,5.5,346.3819692,51242,0.9,73.3,78.5,9.05,5.300000191,3147.0,8.2,11680000
89,7.249629974,10.39835835,0.61469996,0.930028617,71.25901031,0.277252704,0.36,6.0,4471.0,7.3,9.391971441,33432,0.9,82.1,80.8,9.2,6.900000095,3170.0,9.6,2473000
90,5.448006153,8.386593819,0.573395669,0.894054413,65.06298065,0.021970898,0.431,24.4,143.0,3.5,9.805550939,1616,11.5,57.9,7.7,3.63,7.099999905,2564.0,10.0,1180000
91,3.798088312,6.765357018,0.534528375,0.700107574,50.90893173,-0.040968832,0.377266667,109.6,23.0,4.3,0.074208573,364,4.5,54.3,1.7,0.15,5.099999905,2546.0,3.5,94000
92,5.492954254,8.577257156,0.303561687,0.817579567,44.38574219,0.056727454,0.41515,120.9,90.0,4.43070866142,0.533614414,2283,10.1,56.3,10.4,8.54,7.5,2665.0,6.5,486000
93,7.678277016,11.0606842,0.663340509,0.947657406,70.52483368,0.117872901,0.277977778,3.0,9361.0,7.4,12.42453695,89346,0.5,68.8,73.3,6.21,3.200000048,3484.0,9.1,4538000
94,5.131565094,8.384858131,0.228680417,0.542038023,56.61761856,0.15236944,0.31306,87.8,33.0,2.1,1.253113325,1118,7.8,54.7,9.9,0.04,5.099999905,2434.0,9.3,966000
95,6.859835625,9.79269886,0.361556232,0.89739114,67.20626068,0.006124189,0.540692857,18.7,735.0,3.3,21.60344364,8839,17.5,65.2,44.1,6.95,4.0,2703.0,4.7,1606000
96,5.820058346,8.89733696,0.296063691,0.931004941,62.96680069,0.215837404,0.522315385,22.6,398.0,5.0,1.457337025,3013,10.2,61.8,35.1,5.36,4.900000095,2591.0,6.1,579000
97,5.824557304,9.291984558,0.272202104,0.764071584,64.43978119,-0.089913025,0.496035714,19.1,331.0,2.9,2.2234375,5171,9.5,68.7,40.5,5.14,3.599999905,2682.0,3.2,2846000
98,5.001965046,8.706453323,0.758208573,0.812921703,59.13658524,0.048050828,0.44072,30.4,116.0,2.9,14.33075091,2766,8.8,57.1,31.3,5.02,7.0,2584.0,2.9,4273000
99,5.87593174,10.03765869,0.268628746,0.935923874,66.82385254,-0.03693321,0.3377,5.3,870.0,4.8,48.46030761,12943,0.1,64.2,72.8,10.81,10.10000038,3485.0,16.6,14840000
100,4.993962288,10.1640234,0.230625153,0.86603862,70.45056152,-0.10559462,0.368822222,3.8,2000.0,5.1,81.91942352,20840,1.2,63.0,68.6,11.96,15.60000038,3456.0,8.2,7503000
101,6.611298561,11.79789639,0.447820819719,0.838131666,67.33519745,0.110088773,0.411,8.6,2032.0,3.5,202.0671835,67759,7.2,71.3,11.9,1.13,0.5,2893.9140625,4.6,2346000
102,5.166874886,9.787887573,0.236376286,0.740043104,66.41331482,-0.115293927,0.304484615,12.5,468.0,2.9,34.48320806,8369,1.9,64.4,54.5,9.58,7.0,3363.0,10.5,7937000
103,5.620735645,10.05617428,0.452001721,0.901295125,62.20749664,-0.30323863,0.404315385,10.8,963.0,4.2,1.720536342,11116,9.2,50.5,76.1,10.99,5.5,2893.9140625,19.5,28177000
104,3.333047867,7.302061081,0.447820819719,0.637147248,53.13792419,-0.000249257,0.506433333,52.1,51.0,4.8,33.03607621,610,4.2,64.9,6.6,8.34,0.600000024,2148.0,11.9,815000
105,6.396359444,10.79610062,0.447820819719,0.867100954,63.30318069,-0.144847408,0.388312619333,16.0,961.0,5.1,7.597374505,21042,6.2,62.5,48.6,0.09,5.599999905,3122.0,0.4,16332000
106,3.668736935,7.688932896,0.645107508,0.711077392,56.13341141,-0.01904407,0.402433333,55.9,44.0,5.5,4.996623903,984,7.9,55.4,7.4,0.28,10.30000019,2426.0,5.4,962000
107,5.154521942,9.433867455,0.223251179,0.819430411,64.85837555,-0.13191402,0.308422222,7.1,560.0,4.4,9.261376629,5310,1.2,58.0,53.5,9.38,23.89999962,2724.0,12.4,810000
108,6.53320694,11.26087952,0.856165767,0.807910562,75.40146637,0.094115898,0.4248,2.8,2310.0,3.1,15764.20455,47499,0.2,87.5,40.95390625,1.89,2.799999952,2893.9140625,7.4,11098000
109,5.91105938,10.14672375,0.368380159,0.925751448,67.09675598,-0.04252696,0.274877778,7.9,1377.0,3.9,129.6581268,16976,1.4,67.0,56.0,10.12,13.89999962,2902.0,10.1,6235000
110,6.062891006,10.22847271,0.238065988,0.924753785,70.10884094,-0.027444452,0.262336364,3.0,2069.0,5.7,107.0506455,22701,0.7,62.9,86.3,10.95,8.800000191,3173.0,12.4,2156000
111,5.057314396,6.76,0.651241541,0.786291242,62.5693527441,-0.00963006893431,0.388312619333,150.6,15.0,0.8,0.0,316,5.6,60.4669117647,40.95390625,0.0,6.900000095,2893.9140625,12.4,0
112,5.133887768,9.423396111,0.425877452,0.906595111,48.49176407,-0.174450591,0.622375,47.7,661.0,6.4,7.574046443,7362,30.8,62.7,19.0,7.38,25.0,3007.0,3.0,9188000
113,6.003286839,10.37039471,0.230812564,0.77539736,73.19233704,-0.060466178,0.32,3.8,1715.0,4.6,114.5736912,23446,0.8,69.9,97.1,9.56,3.200000048,3329.0,28.9,11140000
114,6.290690422,10.36271954,0.339146554,0.937023342,73.37998199,-0.071407028,0.344866667,4.4,2651.0,4.4,114.9555893,29304,0.8,69.1,85.5,9.35,25.20000076,3183.0,5.1,57464000
115,4.224593163,9.213100433,0.777017355,0.824357271,64.19230652,0.153277189,0.388675,10.4,93.0,1.5,16.04209855,3229,3.3,58.3,17.2,2.8,4.0,2512.0,28.8,1006000
116,4.550499439,8.243685722,0.447820819719,0.812500715,52.85883331,-0.056496911,0.3539,76.3,113.0,2.2,0.242003367,1590,6.5,60.4669117647,14.9,2.01,14.60000038,2346.0,17.2,575000
117,6.269286633,9.644317627,0.72176528,0.797262073,60.69112778,-0.081600539,0.53,23.4,577.0,4.43070866142,1.538461538,8568,9.5,52.6,40.95390625,5.73,6.300000191,2727.0,27.8,240000
118,7.560147762,10.67504883,0.626497209,0.929397464,71.74086761,0.117637143,0.268922222,3.0,6522.0,7.7,12.54081981,54221,0.7,71.7,69.6,7.4,8.100000381,3160.0,11.1,5146000
119,7.776208878,10.90745068,0.769940197,0.94686389,72.73400116,0.125867471,0.3293,4.3,9196.0,5.1,216.7729527,76415,0.6,81.1,55.5,9.86,4.199999809,3487.0,9.2,8566000
120,3.164491177,8.609065056,0.447820819719,0.588395178,64.82252502,0.305268973,0.3577,16.0,71.0,5.0,0.0,316,51.2,51.2,31.8,0.76,11.39999962,2893.9140625,0.4,0
121,4.496571541,7.759257793,0.447820819719,0.728590906,61.02968597,-0.06918785,0.3232,49.3,61.0,4.0,1.743355244,1032,1.3,53.4,22.4,0.32,11.10000038,2101.0,4.2,244000
122,4.006897449,7.717731953,0.414645106,0.832056403,54.14896393,0.208817542,0.384533333,55.7,46.0,4.5,1.177466697,743,7.9,57.0,3.9,3.98,3.200000048,2192.0,24.9,1043000
123,6.300235271,9.588583946,0.702815235,0.906098127,65.18327332,0.368961126,0.40505,13.5,336.0,4.5,43.75501576,5259,4.9,64.9,51.6,6.56,0.699999988,2784.0,11.4,22354000
124,4.463531017,9.26241684,0.435219467,0.614422798,64.25892639,-0.191534013,0.381166667,15.8,298.0,6.2,38.29814624,3979,3.1,58.6,35.2,1.3,14.0,3362.0,2.4,5950000
125,5.309076309,9.799918175,0.53099966,0.739280581,64.88078308,-0.215983421,0.400836364,16.5,555.0,3.0,46.38332705,10763,4.3,62.5,69.3,1.54,9.199999809,3680.0,7.9,35698000
126,5.463827133,9.430281639,0.447820819719,0.945841253,58.05474472,-0.148015648,0.4077,56.5,133.0,3.0,0.0,4103,4.3,43.8,12.2,2.75,10.80000019,2883.0,19.6,0
127,4.309237957,7.418066502,0.396223307,0.884721696,49.08613205,0.095258117,0.4367,64.1,53.0,2.7,5.969479354,635,11.5,61.9,4.5,10.22,4.199999809,2279.0,19.5,1197000
128,5.030342102,9.026292801,0.236936122,0.897573471,62.95043945,-0.204490617,0.270533333,10.6,290.0,6.7,39.72415936,3103,5.0,46.1,82.1,8.44,7.5,3142.0,16.8,23013000
129,7.217766762,11.00320816,0.447820819719,0.855876803,67.90286255,0.044025645,0.388312619333,7.8,1433.0,4.43070866142,0.0,35927,0.8,69.3,16.6,1.75,4.0,3215.0,3.2,0
130,6.880784035,10.51230335,0.421262175,0.934574962,70.91662598,0.360155404,0.346311111,4.8,3649.0,5.8,121.0350101,39174,1.0,74.1,59.2,10.42,8.0,3414.0,9.63308823529,29282000
131,7.026226997,10.83070183,0.348855615,0.903192282,69.7709198,0.197222337,0.4087,7.1,8790.0,5.2,7.28697272,50044,4.7,76.3,94.8,8.82,8.199999809,3639.0,12.1,66657000
132,6.449728489,9.822230339,0.584287286,0.864693701,67.72481537,0.053200379,0.454071429,11.6,1322.0,4.4,15.3982402,12526,7.9,69.9,63.1,5.77,6.5,2939.0,12.1,2695000
133,6.019331932,8.456280708,0.447820819719,0.933141291,60.20788574,-0.036956705,0.348033333,43.2,116.0,4.43070866142,0.0,1591,3.2,45.8,8.9,2.83,10.80000019,2675.0,8.5,0
134,7.066577435,9.781422615,0.539273024,0.931629658,64.1986618,-0.205923513,0.497116667,16.1,613.0,5.0,1.120117907,14073,53.8,38.1,77.0,6.7,8.100000381,2880.0,2.6,988000
135,5.53456974,8.499502182,0.856453717,0.775008678,65.65843964,-0.107827447,0.385766667,23.5,120.0,6.3,22.08533557,1400,1.5,51.3,25.0,4.12,1.799999952,2893.9140625,5.0,6848000
